date,variable,model,count,mae_kw,rmse_kw,bias_kw
2025-04-15,load,Ridge phase-aware,144,125.35193364,150.33512814,35.34468987
2025-04-16,load,Yesterday,144,112.43961806,141.09348836,-36.16582917
2025-04-16,load,Last Week,144,119.07345556,148.08194286,-10.30677222
2025-04-16,load,Ridge phase-aware,144,112.96391208,141.76740187,-16.61142753
2025-04-17,load,Yesterday,144,116.78783333,166.62480637,18.24343472
2025-04-17,load,Last Week,144,100.57392153,122.23637604,7.56908542
2025-04-17,load,Ridge phase-aware,144,98.07751085,118.07013665,5.86568981
2025-04-18,load,Yesterday,144,1917.42430347,2109.12869607,1916.53638681
2025-04-18,load,Last Week,144,138.33544306,170.66077589,25.07614167
2025-04-18,load,Ridge phase-aware,144,136.73374247,172.57539143,18.93927212
2025-04-19,load,Yesterday,144,124.68890417,173.03794472,-17.30191667
2025-04-19,load,Last Week,144,121.86587431,155.89097167,2.15668403
2025-04-19,load,Ridge phase-aware,144,114.53271084,148.05414915,-0.66631407
2025-04-20,load,Yesterday,144,1887.18337500,2069.81205257,-1887.18337500
2025-04-20,load,Last Week,144,129.35949931,166.23235877,3.55191042
2025-04-20,load,Ridge phase-aware,144,122.43223822,154.72166979,0.33043965
2025-04-21,load,Yesterday,144,135.43646806,169.75274630,-53.49256389
2025-04-21,load,Last Week,144,134.13915972,170.41560725,-24.17771667
2025-04-21,load,Ridge phase-aware,144,131.71549422,165.65316357,-28.04217270
2025-04-22,load,Yesterday,144,141.00910417,175.83979996,27.94320278
2025-04-22,load,Last Week,144,134.04565486,162.44346970,-31.42066042
2025-04-22,load,Ridge phase-aware,144,127.73190202,153.05388238,-19.85065052
2025-04-23,load,Yesterday,144,115.07169097,146.79739329,-9.14640625
2025-04-23,load,Last Week,144,127.78810833,157.42643215,-4.40123750
2025-04-23,load,Ridge phase-aware,144,125.20882328,154.39270423,-10.00633650
2025-04-24,load,Yesterday,144,118.75391806,165.55147166,22.19729583
2025-04-24,load,Last Week,144,101.86224167,130.38720257,-0.44737639
2025-04-24,load,Ridge phase-aware,144,102.46974313,128.49176309,-1.27709405
2025-04-25,load,Yesterday,144,1905.60243611,2090.17368746,1905.60243611
2025-04-25,load,Last Week,144,124.93731319,149.11654035,-11.38132708
2025-04-25,load,Ridge phase-aware,144,120.55294505,151.33596259,-15.33742517
2025-04-26,load,Yesterday,144,131.74282361,183.07297987,-14.06679861
2025-04-26,load,Last Week,144,132.25791736,165.55510538,-8.14620903
2025-04-26,load,Ridge phase-aware,144,133.09271373,163.54294120,-10.20888324
2025-04-27,load,Yesterday,144,1872.14992361,2065.66780740,-1872.14992361
2025-04-27,load,Last Week,144,129.67043403,165.02413399,6.88724236
2025-04-27,load,Ridge phase-aware,144,140.57017835,180.94171571,4.38281608
2025-04-28,load,Yesterday,144,131.12656528,169.66480358,-21.03242778
2025-04-28,load,Last Week,144,128.47116319,167.75005394,39.34737847
2025-04-28,load,Ridge phase-aware,144,126.83170432,165.55586587,33.05428817
2025-04-29,load,Yesterday,144,125.86075069,154.06124829,11.85592014
2025-04-29,load,Last Week,144,105.00335278,134.73917116,23.26009583
2025-04-29,load,Ridge phase-aware,144,103.52986303,131.51635980,30.13900784
2025-04-30,load,Yesterday,144,107.51693750,140.59822329,-17.92175000
2025-04-30,load,Last Week,144,132.42787292,161.49298939,14.48475208
2025-04-30,load,Ridge phase-aware,144,128.75450429,158.38727283,7.32632414
2025-05-01,load,Yesterday,144,232.02950556,311.29816556,-111.73763333
2025-05-01,load,Last Week,144,208.46656875,281.50838385,-119.45017708
2025-05-01,load,Ridge phase-aware,144,209.47529827,284.84907139,-121.04981665
2025-05-02,load,Yesterday,144,1901.51210486,2086.08332382,1900.14821597
2025-05-02,load,Last Week,144,187.69969583,250.84830121,-124.90439722
2025-05-02,load,Ridge phase-aware,144,199.83631499,261.88963437,-123.80830431
2025-05-03,load,Yesterday,144,155.29577569,207.19897824,-5.57593958
2025-05-03,load,Last Week,144,200.36671597,262.75825447,-116.41353819
2025-05-03,load,Ridge phase-aware,144,198.36624187,262.87514080,-112.87017570
2025-05-04,load,Yesterday,144,1908.65798403,2094.29126089,-1907.30145625
2025-05-04,load,Last Week,144,227.80463333,283.89379477,-151.56507083
2025-05-04,load,Ridge phase-aware,144,227.18403473,280.82235436,-147.59835706
2025-05-05,load,Yesterday,144,140.18195556,184.22482195,2.41334861
2025-05-05,load,Last Week,144,219.82066250,272.72103805,-128.11929444
2025-05-05,load,Ridge phase-aware,144,215.60505894,267.99256317,-123.37255659
2025-05-06,load,Yesterday,144,154.77182083,195.73798548,-16.87609306
2025-05-06,load,Last Week,144,210.32325069,281.01428589,-156.85130764
2025-05-06,load,Ridge phase-aware,144,200.76545992,269.75924594,-141.50103324
2025-05-07,load,Yesterday,144,135.77460625,171.52122800,-5.95937153
2025-05-07,load,Last Week,144,202.54123056,268.19769172,-144.88892917
2025-05-07,load,Ridge phase-aware,144,199.80874680,264.90530909,-142.88040111
2025-05-08,load,Yesterday,144,148.09975556,205.79162036,29.78073472
2025-05-08,load,Last Week,144,162.92337500,220.49142071,-3.37056111
2025-05-08,load,Ridge phase-aware,144,158.14681696,214.20826366,-7.93441817
2025-05-09,load,Yesterday,144,1924.65216389,2102.84002626,1924.65216389
2025-05-09,load,Last Week,144,146.55464097,187.11623646,21.13338681
2025-05-09,load,Ridge phase-aware,144,145.33450001,182.66212853,11.64976819
2025-05-10,load,Yesterday,144,164.44885972,218.31739561,-16.42340000
2025-05-10,load,Last Week,144,153.55333333,188.43757881,10.28592639
2025-05-10,load,Ridge phase-aware,144,149.90177563,183.93328991,2.74299887
2025-05-11,load,Yesterday,144,1920.62930694,2105.56807440,-1920.62930694
2025-05-11,load,Last Week,144,152.13198681,186.05282777,-3.04192431
2025-05-11,load,Ridge phase-aware,144,147.45759865,183.48632556,-12.63907039
2025-05-12,load,Yesterday,144,143.00286806,183.85883332,12.27028333
2025-05-12,load,Last Week,144,154.91782847,185.00232138,6.81501042
2025-05-12,load,Ridge phase-aware,144,147.44641637,177.71234476,0.68875151
2025-05-13,load,Yesterday,144,122.99848819,159.47469468,7.45716736
2025-05-13,load,Last Week,144,143.86684167,183.25833853,31.14827083
2025-05-13,load,Ridge phase-aware,144,144.09599942,181.24449346,32.65499133
2025-05-14,load,Yesterday,144,137.14989028,175.88426710,-13.43223611
2025-05-14,load,Last Week,144,122.93868681,158.65250629,23.67540625
2025-05-14,load,Ridge phase-aware,144,118.94167246,153.30498610,11.64119760
2025-05-15,load,Yesterday,144,146.08687986,196.19389057,41.40397708
2025-05-15,load,Last Week,144,158.31908472,211.03457148,35.29864861
2025-05-15,load,Ridge phase-aware,144,151.14372126,200.05674689,29.24919647
2025-05-16,load,Yesterday,144,1871.54021111,2064.25880164,1871.54021111
2025-05-16,load,Last Week,144,158.96481389,200.83544739,-17.81330417
2025-05-16,load,Ridge phase-aware,144,164.09224902,208.81765448,-27.26050724
2025-05-17,load,Yesterday,144,149.67197986,205.13929489,-24.71607014
2025-05-17,load,Last Week,144,148.20569236,181.45380337,-26.10597431
2025-05-17,load,Ridge phase-aware,144,142.72257811,176.18986006,-31.86414632
2025-05-18,load,Yesterday,144,1892.44985694,2078.00895600,-1892.18777361
2025-05-18,load,Last Week,144,149.64494931,191.47251437,2.33555903
2025-05-18,load,Ridge phase-aware,144,145.94417686,187.32696589,-6.20514988
2025-05-19,load,Yesterday,144,143.67972014,179.77785520,25.61037569
2025-05-19,load,Last Week,144,155.86542500,204.06085481,15.67565139
2025-05-19,load,Ridge phase-aware,144,151.93382427,197.83673934,10.01799129
2025-05-20,load,Yesterday,144,143.60066111,182.30253470,-15.21623889
2025-05-20,load,Last Week,144,136.50639236,172.10464573,-6.99775486
2025-05-20,load,Ridge phase-aware,144,133.36082342,165.90680971,-3.60180880
2025-05-21,load,Yesterday,144,130.21689722,167.52099685,6.43860139
2025-05-21,load,Last Week,144,129.37572014,168.78978125,12.87308264
2025-05-21,load,Ridge phase-aware,144,124.20903787,161.52775464,3.22985728
2025-05-22,load,Yesterday,144,150.95798472,207.34149956,23.05713611
2025-05-22,load,Last Week,144,150.59441250,197.15916982,-5.47375833
2025-05-22,load,Ridge phase-aware,144,144.25909544,188.34022711,-9.13526439
2025-05-23,load,Yesterday,144,1864.55342917,2054.80225056,1864.42898472
2025-05-23,load,Last Week,144,154.29640278,196.05706028,-12.58498472
2025-05-23,load,Ridge phase-aware,144,149.39200819,189.55948287,-23.28889023
2025-05-24,load,Yesterday,144,133.39131111,182.11836317,12.06527361
2025-05-24,load,Last Week,144,145.15237014,185.61164981,24.19635903
2025-05-24,load,Ridge phase-aware,144,141.40752971,177.63164522,16.82686172
2025-05-25,load,Yesterday,144,1902.48276875,2098.47523346,-1901.08582431
2025-05-25,load,Last Week,144,155.69090000,191.20797767,15.29830833
2025-05-25,load,Ridge phase-aware,144,167.34831055,204.90590590,5.73679629
2025-05-26,load,Yesterday,144,131.12025972,168.80809284,37.99617639
2025-05-26,load,Last Week,144,151.13057014,193.99869758,27.68410903
2025-05-26,load,Ridge phase-aware,144,142.38443007,182.68705087,22.60307604
2025-05-27,load,Yesterday,144,139.93346042,173.16837184,-26.61908264
2025-05-27,load,Last Week,144,132.80144722,160.22970229,16.28126528
2025-05-27,load,Ridge phase-aware,144,123.76897011,151.36979493,17.67701899
