period,scope_type,scope_value,method,n,mae_kw,rmse_kw,bias_kw,nrmse_pct
evaluation,release_hour,6,发布时间分组融合,8010,98.4159884116,195.0589432037,-1.6731324724,1.9513919420
evaluation,release_hour,6,在线因果融合,8010,153.8685426699,305.3972387189,2.7611697432,3.0552288501
evaluation,release_hour,12,官方预测,8004,214.7582911544,576.0438820228,-39.0188951774,5.7628087753
evaluation,release_hour,12,昨日同刻,8004,186.5404188531,376.8873886894,0.9311890930,3.7704244740
evaluation,release_hour,12,上周同刻,8004,216.1080959520,422.4279648010,4.7296101949,4.2260175977
evaluation,release_hour,12,七日同刻均值,8004,153.8946823463,305.4839454352,2.8499230296,3.0560962739
evaluation,release_hour,12,静态凸融合,8004,142.0526671061,284.4975120988,-2.3072628593,2.8461455984
evaluation,release_hour,12,提前期分箱融合,8004,106.9591161148,236.6932075439,-0.8330661077,2.3679058767
evaluation,release_hour,12,发布时间分组融合,8004,142.6179331006,285.3300909541,-1.9535711555,2.8544748123
evaluation,release_hour,12,在线因果融合,8004,153.8946823463,305.4839454352,2.8499230296,3.0560962739
evaluation,release_hour,18,官方预测,7998,265.8609032633,532.1863281493,-54.9765221430,5.3240527982
evaluation,release_hour,18,昨日同刻,7998,186.5282914479,376.9598322347,0.8763597149,3.7711492075
evaluation,release_hour,18,上周同刻,7998,216.1349071643,422.5235062332,4.6428310203,4.2269734051
evaluation,release_hour,18,七日同刻均值,7998,153.9374350284,305.5785477346,2.8642060069,3.0570426862
evaluation,release_hour,18,静态凸融合,7998,139.8215587788,277.0914760098,-4.2603176791,2.7720547676
evaluation,release_hour,18,提前期分箱融合,7998,146.6379016634,292.1257392139,-0.8142621312,2.9224592535
evaluation,release_hour,18,发布时间分组融合,7998,143.9573731232,285.5219804116,-1.6662712000,2.8563944964
evaluation,release_hour,18,在线因果融合,7998,153.9374350284,305.5785477346,2.8642060069,3.0570426862
